Year ,Month ,New,Used,Total Sales New,Total Sales Used
2014,2,20202,46154,629593928,420312854
2014,3,25318,58015,778419410,530709741
2014,4,29820,61277,901354171,565840381
2014,5,31504,56649,930989023,533756933
2014,6,32620,58619,964450549,567571137
2014,7,33299,60001,1024912743,597775943
2014,8,30982,56517,967003330,544939982
2014,9,32431,59261,1015189704,568777644
2014,10,29250,59014,923842238,583891303
2014,11,22582,46000,723803223,456675447
2014,12,26419,50072,850948572,514628809
2015,1,28889,48465,974532500,512446033
2015,2,22430,51038,709556549,484053250
2015,3,27428,61346,834375096,575005263
2015,4,32240,64350,988046475,632625988
2015,5,29626,57563,898866880,558692764
2015,6,34695,54124,1051510311,581809219
2015,7,34179,62920,1062988492,650454487
2015,8,30125,61268,958163037,618794306
2015,9,32154,62182,1035533325,632452008
2015,10,30552,62954,991747766,653329361
2015,11,25828,54354,858213639,568019044
2015,12,29062,56592,969641175,621925235
2016,1,25835,45285,878106665,518918140
2016,2,24257,58184,813473347,581005001
2016,3,30675,73163,988609546,723865536
2016,4,29787,66793,943502901,693293383
2016,5,31525,65659,1018042636,712783380
2016,6,34366,68750,1094447550,751886189
2016,7,29636,62545,960502273,691521741
2016,8,29945,70887,994401467,780694327
2016,9,28544,66056,976643490,742588270
2016,10,27082,61678,907244735,685808210
2016,11,25381,58037,857844856,641353419
2016,12,26205,56234,926735097,655654762
2017,1,28827,56583,1000285431,674078790
2017,2,22413,55989,776222008,592255229
2017,3,27838,72717,926703144,744746293
2017,4,26135,62740,867722291,654981615
2017,5,28931,68296,937804113,718689038
2017,6,31835,67827,1019153457,720739448
2017,7,28331,62372,906844054,657619227
2017,8,29644,69737,999821400,751224882
2017,9,28175,59925,955788877,643188965
2017,10,27886,63917,967866431,696489631
2017,11,24970,57147,861135057,641563065
2017,12,24944,51261,868882914,578032505
2018,1,28607,55276,1020767142,652390067
2018,2,21448,54539,738782711,584178507
2018,3,26914,67288,894044008,707459045
2018,4,26729,66047,912292887,700677043
2018,5,30967,67515,974812847,727531733
2018,6,31779,64600,1051832066,729899558
2018,7,30342,67117,1022752575,759245612
2018,8,30188,69867,1064196448,785536949
2018,9,27180,58483,936629687,672015932
2018,10,28879,66603,1009595823,769511706
2018,11,24846,57480,877595733,678286668
2018,12,26350,53781,953848511,637432990
2019,1,31090,58907,1132044244,728500177
2019,2,21694,52578,763740318,611220842
2019,3,26485,67022,912994576,726850233
2019,4,30044,70469,1031766223,789665397
2019,5,29396,69242,998392416,803918059
2019,6,29142,63122,1023455424,745753203
2019,7,30821,68577,1101287239,825296531
2019,8,28399,67159,1012102960,793732403
2019,9,29591,62846,1068228890,744093843
2019,10,28967,66581,1055208739,819198662
2019,11,23573,55334,868580552,685903924
2019,12,24839,55489,920768845,695161427
2020,1,27704,57577,1045539743,727641906
2020,2,22344,55032,802833375,660514435
2020,3,23873,58963,853033479,734371921
2020,4,13700,29420,495796657,372792902
2020,5,14835,37572,518292774,403317249
2020,6,23704,63395,821297823,699671992
2020,7,26190,61905,995093228,746109876
2020,8,27372,59328,1033767509,696083170
2020,9,27733,54035,1063945651,649440784
2020,10,24777,49328,937336920,596988709
2020,11,25187,46598,966657333,613844483
2020,12,28061,44427,1256023978,620534357
2021,1,21674,47934,834312337,622526750
2021,2,20579,42306,797908033,556318165
2021,3,34794,66410,1267127282,848644184
2021,4,32730,63931,1213808079,863507284
2021,5,33788,60551,1295819889,842208559
2021,6,28039,55978,1120989909,839454924
2021,7,25779,57859,1048930976,862659646
2021,8,23233,57280,994080847,855687944
2021,9,20975,54004,902795955,832349702
2021,10,20843,52045,905018365,821046399
2021,11,20511,47276,909588132,844991836
2021,12,22677,42812,1028505727,743190343
2022,1,19160,40497,847214025,694097721
2022,2,21769,46442,938361276,809993384
2022,3,26148,57453,1121118314,934785809
2022,4,23756,51670,980797747,879511928
2022,5,23162,51373,990610106,899660891
2022,6,22954,47829,1009601998,815244816
2022,7,22001,49295,975230778,832744192
2022,8,22594,49861,1040810389,827552546
2022,9,22941,48298,1096319386,838767438
2022,10,22255,47325,1060091844,804805365
2022,11,21117,43345,993531237,734729853
2022,12,23025,40906,1120587035,718545405
